recorded_at,device_name,power_kwh,water_m3,gas_m3
2025-03-31 16:37:24,Heater,1.84,0.21,0.26
2025-03-31 16:40:24,Heater,2.02,0.14,0.16
2025-03-31 16:43:24,Washing Machine,0.73,0.81,0.01
2025-03-31 16:46:24,Refrigerator,2.58,0.57,0.27
2025-03-31 16:49:24,Lighting,1.29,0.68,0.08
2025-03-31 16:52:24,Air Conditioner,3.47,0.07,0.3
2025-03-31 16:55:24,Air Conditioner,1.87,0.2,0.22
2025-03-31 16:58:24,Heater,1.49,0.92,0.39
2025-03-31 17:01:24,Heater,3.36,0.73,0.07
2025-03-31 17:04:26,Lighting,2.67,0.85,0.35
2025-03-31 17:07:27,Refrigerator,2.97,0.89,0.29
2025-03-31 17:10:28,Lighting,2.55,0.99,0.44
2025-03-31 17:13:29,Heater,2.09,0.97,0.49
2025-03-31 17:16:31,Air Conditioner,1.62,0.75,0.45
2025-03-31 17:19:32,Air Conditioner,2.44,0.97,0.18
2025-03-31 17:22:33,Refrigerator,0.88,0.24,0.35
2025-03-31 17:25:34,Air Conditioner,2.71,0.17,0.28
2025-03-31 17:28:35,Refrigerator,1.08,0.7,0.22
2025-03-31 17:31:36,Refrigerator,1.9,0.73,0.13
2025-03-31 17:34:37,Air Conditioner,3.33,0.03,0.48
2025-03-31 17:37:38,Lighting,2.12,0.53,0.25
2025-03-31 17:40:40,Refrigerator,3.34,0.84,0.07
2025-03-31 17:43:41,Lighting,1.17,0.0,0.44
2025-03-31 17:46:42,Refrigerator,0.86,0.64,0.06
2025-03-31 17:49:43,Washing Machine,3.16,0.3,0.19
2025-03-31 17:52:44,Lighting,0.7,0.95,0.02
2025-03-31 17:55:47,Refrigerator,2.5,0.01,0.1
2025-03-31 17:58:49,Washing Machine,1.06,0.5,0.39
2025-03-31 18:01:51,Lighting,2.75,0.0,0.46
2025-03-31 18:04:52,Air Conditioner,0.85,0.26,0.38
2025-04-01 09:19:44,Washing Machine,3.44,0.74,0.36
2025-04-01 09:22:44,Heater,1.94,0.6,0.34
2025-04-01 09:25:45,Lighting,2.74,0.26,0.4
2025-04-01 09:28:46,Washing Machine,2.47,0.22,0.24
2025-04-01 09:31:48,Washing Machine,1.96,0.11,0.41
2025-04-01 09:34:49,Washing Machine,1.46,0.13,0.42
2025-04-01 09:37:50,Air Conditioner,1.7,0.94,0.22
2025-04-01 09:40:51,Washing Machine,1.38,0.86,0.47
2025-04-01 09:43:52,Air Conditioner,2.63,0.33,0.27
2025-04-01 09:46:54,Lighting,1.76,0.23,0.32
2025-04-01 09:49:55,Air Conditioner,1.65,1.0,0.35
2025-04-01 09:52:56,Refrigerator,2.3,0.93,0.26
2025-04-01 09:55:50,Air Conditioner,2.54,0.9,0.25
2025-04-01 09:55:57,Washing Machine,2.35,0.8,0.26
2025-04-01 09:57:37,Washing Machine,3.05,0.52,0.13
2025-04-01 09:58:16,Refrigerator,2.18,0.32,0.39
2025-04-01 09:58:57,Lighting,1.27,0.58,0.09
2025-04-01 10:00:38,Washing Machine,1.65,0.03,0.44
2025-04-01 10:01:18,Heater,1.73,0.37,0.17
2025-04-01 10:01:59,Heater,2.51,0.89,0.37
2025-04-01 10:03:39,Washing Machine,2.6,0.6,0.48
2025-04-01 10:04:19,Air Conditioner,1.98,0.43,0.48
2025-04-01 10:05:00,Heater,2.16,0.01,0.35
2025-04-01 10:06:41,Heater,3.31,0.25,0.15
2025-04-01 10:07:20,Lighting,3.01,0.55,0.04
2025-04-01 10:08:01,Washing Machine,2.22,0.38,0.1
2025-04-01 10:09:42,Washing Machine,3.39,0.76,0.16
2025-04-01 10:10:21,Refrigerator,0.88,0.4,0.08
2025-04-01 10:11:02,Air Conditioner,2.09,0.63,0.28
2025-04-01 10:12:43,Air Conditioner,2.92,0.14,0.06
2025-04-01 10:13:23,Lighting,1.34,0.66,0.12
2025-04-01 10:14:04,Refrigerator,2.58,0.97,0.32
2025-04-01 10:14:23,Lighting,3.31,0.89,0.17
2025-04-01 10:15:34,Lighting,2.93,0.96,0.31
2025-04-01 10:15:44,Refrigerator,2.28,0.34,0.36
2025-04-01 10:15:45,Washing Machine,0.91,0.62,0.04
2025-04-01 10:16:24,Heater,2.25,0.8,0.19
2025-04-01 10:17:05,Refrigerator,2.36,0.89,0.34
2025-04-01 10:17:23,Heater,2.46,0.92,0.41
2025-04-01 10:17:37,Air Conditioner,1.65,0.03,0.16
2025-04-01 10:18:44,Lighting,0.92,0.94,0.21
2025-04-01 10:19:25,Heater,3.13,0.13,0.04
2025-04-01 10:20:06,Air Conditioner,3.25,0.14,0.46
2025-04-01 10:20:23,Lighting,2.53,0.97,0.11
2025-04-01 10:20:37,Lighting,1.54,0.2,0.03
2025-04-01 10:21:46,Air Conditioner,3.13,0.62,0.37
2025-04-01 10:22:26,Air Conditioner,2.57,0.94,0.43
2025-04-01 10:23:08,Refrigerator,0.65,0.75,0.01
2025-04-01 10:23:23,Lighting,0.86,0.27,0.5
2025-04-01 10:23:37,Air Conditioner,2.1,0.27,0.29
2025-04-01 10:24:47,Air Conditioner,3.1,0.22,0.3
2025-04-01 10:25:28,Refrigerator,2.44,0.94,0.17
2025-04-01 10:26:09,Washing Machine,3.31,0.1,0.18
2025-04-01 10:26:23,Washing Machine,1.68,0.44,0.25
2025-04-01 10:26:37,Lighting,3.04,0.64,0.44
2025-04-01 10:27:48,Lighting,3.19,0.63,0.21
2025-04-01 10:28:29,Refrigerator,2.15,0.24,0.34
2025-04-01 10:29:10,Air Conditioner,3.31,0.85,0.18
2025-04-01 10:29:23,Refrigerator,0.76,0.31,0.13
2025-04-01 10:29:37,Washing Machine,2.51,0.25,0.45
2025-04-01 10:30:49,Air Conditioner,3.23,0.64,0.32
2025-04-01 10:31:30,Refrigerator,2.74,0.06,0.21
2025-04-01 10:32:11,Heater,2.87,0.57,0.49
