時間,CO2(ppm),PM2.5(μg/m³)
2025-04-25 01:46:20,797.6,12.22
2025-04-25 01:46:51,795.6,12.23
2025-04-25 01:47:12,793.6,12.84
2025-04-25 01:47:43,790.6,12.06
2025-04-25 01:48:13,788.6,11.49
2025-04-25 01:48:44,787.6,11.92
2025-04-25 01:49:14,785.6,12.52
2025-04-25 01:49:45,783.6,12.59
2025-04-25 01:50:15,782.6,12.57
2025-04-25 01:50:46,782.6,11.56
2025-04-25 01:51:17,780.6,11.55
2025-04-25 01:51:48,780.6,11.52
2025-04-25 01:52:24,779.6,12.22
2025-04-25 01:52:58,779.6,11.91
2025-04-25 01:53:33,777.6,11.85
2025-04-25 01:54:09,778.6,12.84
2025-04-25 01:54:18,778.6,12.18
2025-04-25 01:54:52,780.6,11.37
2025-04-25 01:55:26,787.6,11.74
2025-04-25 01:55:59,791.6,11.98
2025-04-25 01:56:32,797.6,12.26
2025-04-25 01:57:07,797.6,11.96
2025-04-25 01:57:40,796.6,12.62
2025-04-25 01:59:30,796.6,12.04
2025-04-25 02:00:04,796.6,12.36
2025-04-25 02:00:44,799.6,11.64
2025-04-25 02:01:24,800.6,12.13
2025-04-25 02:02:04,799.6,11.95
2025-04-25 02:02:29,799.6,12.48
2025-04-25 02:02:59,801.6,12.01
2025-04-25 02:03:08,802.6,11.8
2025-04-25 02:03:22,802.6,11.74
2025-04-25 02:03:45,803.6,11.8
2025-04-25 02:04:18,805.6,11.65
2025-04-25 02:04:52,806.6,11.16
2025-04-25 02:05:26,805.6,11.89
2025-04-25 02:05:59,805.6,12.18
2025-04-25 02:06:33,806.6,11.59
2025-04-25 02:07:06,805.6,11.21
2025-04-25 02:07:40,805.6,11.69
2025-04-25 02:08:14,805.6,10.72
2025-04-25 02:08:48,801.6,12.03
2025-04-25 02:09:22,800.6,12.46
2025-04-25 02:09:56,802.6,11.25
2025-04-25 02:10:29,804.6,11.4
2025-04-25 02:11:02,808.6,11.89
2025-04-25 02:11:35,806.6,11.4
2025-04-25 02:12:08,805.6,11.07
2025-04-25 02:12:33,805.6,11.65
2025-04-25 02:12:47,805.6,12.06
2025-04-25 02:13:20,805.6,12.58
2025-04-25 02:13:36,805.6,12.28
2025-04-25 02:14:04,807.6,11.34
2025-04-25 02:14:40,808.6,11.3
2025-04-25 02:14:50,807.6,11.72
2025-04-25 02:15:31,790.6,16.19
2025-04-25 02:15:56,815.6,13.69
2025-04-25 02:16:26,833.6,12.04
2025-04-25 02:16:59,833.6,12.16
2025-04-25 02:17:19,829.6,12.41
2025-04-25 02:17:48,822.6,11.54
2025-04-25 02:18:16,823.6,12.33
2025-04-25 02:18:32,825.6,12.94
2025-04-25 02:19:06,824.6,12.8
2025-04-25 02:19:39,816.6,11.86
2025-04-25 02:20:12,814.6,11.98
2025-04-25 02:20:45,810.6,11.21
2025-04-25 02:21:18,806.6,11.94
2025-04-25 02:21:35,805.6,11.86
2025-04-25 02:22:02,806.6,11.09
2025-04-25 02:22:36,806.6,11.36
2025-04-25 02:45:40,821.6,12.9
2025-04-25 10:46:00,37.77,727.1
2025-04-25 02:46:17,822.6,13.03
2025-04-25 10:46:30,38.29,742.3
2025-04-25 02:46:55,822.6,13.29
2025-04-25 10:47:00,10.45,423.0
2025-04-25 10:47:30,28.64,865.1
2025-04-25 02:47:32,823.6,13.24
2025-04-25 10:48:00,15.63,961.0
2025-04-25 02:48:07,824.6,13.57
2025-04-25 10:48:30,15.29,969.5
2025-04-25 02:48:52,824.6,13.21
2025-04-25 10:49:30,35.63,875.6
2025-04-25 10:50:00,34.21,452.7
2025-04-25 02:50:01,820.6,12.59
2025-04-25 02:51:10,822.6,12.27
2025-04-25 02:51:44,823.6,12.87
2025-04-25 02:52:13,830.6,12.68
2025-04-25 02:52:49,833.6,13.42
2025-04-25 02:53:25,833.6,13.26
2025-04-25 02:54:04,829.6,12.53
2025-04-25 02:54:39,828.6,12.78
2025-04-25 02:55:15,833.6,13.12
2025-04-25 02:55:51,834.6,13.31
2025-04-25 02:56:26,833.6,13.83
2025-04-25 02:57:06,832.6,13.26
2025-04-25 02:57:44,832.6,13.32
2025-04-25 02:58:21,832.6,13.81
2025-04-25 02:59:26,830.6,12.17
2025-04-25 03:00:05,831.6,12.78
2025-04-25 03:00:51,832.6,13.54
2025-04-25 03:01:27,833.6,12.85
2025-04-25 03:02:10,832.6,12.55
